INTEGRATED_NAME,ADDRESS,AREA,TREES_KIND,TREE_NAME,CONIFEROUS_DECIDUOUS,EVERGREEN_DECIDUOUS,SIZE_STRUCTURE,FLOWER_FRUIT,FLOWER,SEASON
안암로,"서울특별시 동대문구 용두동 774",0.016756015157060974,"양버즘나무 은행나무 ",양버즘나무,활엽수,낙엽수,교목,,봄,X
제기로,"서울특별시 동대문구 청량리동 819",0.016724124074013105,"양버즘나무 은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
제기로,"서울특별시 동대문구 청량리동 819",0.016724124074013105,"양버즘나무 은행나무 ",양버즘나무,활엽수,낙엽수,교목,,봄,X
서울시립대로,"서울특별시 동대문구 전농동 582-6",0.015070999217401845,"은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
사가정로,"서울특별시 동대문구 답십리동 549-2",0.07865510585547797,"은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
한천로,"서울특별시 동대문구 이문동 354-5",0.043969435750392666,"양버즘나무 은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
한천로,"서울특별시 동대문구 이문동 354-5",0.043969435750392666,"양버즘나무 은행나무 ",양버즘나무,활엽수,낙엽수,교목,,봄,X
서울시립대로,"서울특별시 동대문구 전농동 666",0.015070999217401845,"은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
천호대로47길,"서울특별시 동대문구 답십리동 552",0.0021645883362325815,"느티나무 ",느티나무,활엽수,낙엽수,교목,,여름,X
회기로,"서울특별시 동대문구 청량리동 산 5-9",0.021741305586761694,"은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
장한로,"서울특별시 동대문구 장안동 469-3",0.01828729174665348,"이팝나무 벚나무 ",벚나무,활엽수,낙엽수,교목,화목,봄,X
장한로,"서울특별시 동대문구 장안동 469-3",0.01828729174665348,"이팝나무 벚나무 ",이팝나무,활엽수,낙엽수,교목,화목,봄,X
장한로,"서울특별시 동대문구 장안동 469-12",0.01828729174665348,"양버즘나무 이팝나무 은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
장한로,"서울특별시 동대문구 장안동 469-12",0.01828729174665348,"양버즘나무 이팝나무 은행나무 ",이팝나무,활엽수,낙엽수,교목,화목,봄,X
장한로,"서울특별시 동대문구 장안동 469-12",0.01828729174665348,"양버즘나무 이팝나무 은행나무 ",양버즘나무,활엽수,낙엽수,교목,,봄,X
고산자로,"서울특별시 동대문구 제기동 696",0.018242091564576145,"양버즘나무 ",양버즘나무,활엽수,낙엽수,교목,,봄,X
겸재로,"서울특별시 동대문구 휘경동 57-2",0.0029201231399936084,"메타세쿼이아 배롱나무 ",배롱나무,활엽수,낙엽수,교목,화목,여름,X
겸재로,"서울특별시 동대문구 휘경동 57-2",0.0029201231399936084,"메타세쿼이아 배롱나무 ",메타세쿼이아,침엽수,낙엽수,교목,,X,X
한천로,"서울특별시 동대문구 휘경동 43-1",0.043969435750392666,"양버즘나무 은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
한천로,"서울특별시 동대문구 휘경동 43-1",0.043969435750392666,"양버즘나무 은행나무 ",양버즘나무,활엽수,낙엽수,교목,,봄,X
고산자로,"서울특별시 동대문구 제기동 699",0.018242091564576145,"양버즘나무 ",양버즘나무,활엽수,낙엽수,교목,,봄,X
전농로,"서울특별시 동대문구 전농동 103-156",0.01893440584438743,"은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
사가정로,"서울특별시 동대문구 답십리동 549-1",0.07865510585547797,"단풍나무 은행나무 느티나무 ",느티나무,활엽수,낙엽수,교목,,여름,X
사가정로,"서울특별시 동대문구 답십리동 549-1",0.07865510585547797,"단풍나무 은행나무 느티나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
사가정로,"서울특별시 동대문구 답십리동 549-1",0.07865510585547797,"단풍나무 은행나무 느티나무 ",단풍나무,활엽수,낙엽수,교목,,봄,가을
사가정로,"서울특별시 동대문구 전농동 311",0.07865510585547797,"은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
사가정로,"서울특별시 동대문구 전농동 295-26",0.07865510585547797,"은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
한천로,"서울특별시 동대문구 장안동 150-21",0.043969435750392666,"양버즘나무 은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
한천로,"서울특별시 동대문구 장안동 150-21",0.043969435750392666,"양버즘나무 은행나무 ",양버즘나무,활엽수,낙엽수,교목,,봄,X
왕산로,"서울특별시 동대문구 청량리동 819",0.032634459895788274,"양버즘나무 이팝나무 은행나무 느티나무 ",느티나무,활엽수,낙엽수,교목,,여름,X
왕산로,"서울특별시 동대문구 청량리동 819",0.032634459895788274,"양버즘나무 이팝나무 은행나무 느티나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
왕산로,"서울특별시 동대문구 청량리동 819",0.032634459895788274,"양버즘나무 이팝나무 은행나무 느티나무 ",이팝나무,활엽수,낙엽수,교목,화목,봄,X
왕산로,"서울특별시 동대문구 청량리동 819",0.032634459895788274,"양버즘나무 이팝나무 은행나무 느티나무 ",양버즘나무,활엽수,낙엽수,교목,,봄,X
회기로,"서울특별시 동대문구 청량리동 205-553",0.021741305586761694,"은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
회기로,"서울특별시 동대문구 청량리동 206-9",0.021741305586761694,"계수나무 버드나무 은행나무 피나무 느티나무 느릅나무 ",느릅나무,활엽수,낙엽수,교목,,봄,X
회기로,"서울특별시 동대문구 청량리동 206-9",0.021741305586761694,"계수나무 버드나무 은행나무 피나무 느티나무 느릅나무 ",느티나무,활엽수,낙엽수,교목,,여름,X
